id,ref,pred,wer,len,weighted_wer,duration
U_001a3860244d31c2,and do you know why it's called the peacock spider,and do you know why it's called the peacock spider,0.0,10,0.0,3.147
U_001d3f53e658a515,then i pull on them,and i pull on them,0.2,5,1.0,0.934
U_00256a74233c7f7e,which was five cents and he didn't have any money,which was five cents and he didn't have any money,0.0,10,0.0,3.183
U_002a4ce0bd3c3c4b,they said hi and found a place for their picnic,they said hi and found a place for a picnic,0.1,10,1.0,4.293
U_002e446d9be9fa09,seven eight nine,seven eight nine,0.0,3,0.0,2.627
U_002f6041c10d7eaa,yes,yes,0.0,1,0.0,0.597
U_002fc6013d96b1d4,i think i'll do this one,i think i'll do this one,0.0,6,0.0,3.09
U_0031895d3fbc0a04,i sitted on the front,i sit it on the front,0.4,5,2.0,1.706
U_00326c6bea734173,if i was something in the arc maybe i would,if i was something in the arc maybe i would,0.0,10,0.0,6.267
U_003abb0fee755f52,frog,frog,0.0,1,0.0,1.312
U_003f72521f66ebb2,she wants to make,a white leg,1.0,4,4.0,1.085
U_0041c9ca97ffe7e1,wait what did you,wait what did you,0.0,4,0.0,1.804
U_00451e016ebc6587,u umbrella,u umbrella,0.0,2,0.0,3.823
U_0058fea1eaf74453,nineteen minus one equals eighteen,nineteen minus one equals eighteen,0.0,5,0.0,4.191
U_005b37d8d00f8607,two rocks,two rocks,0.0,2,0.0,1.367
U_005dc3d72e5c843e,bracelet,bracelet,0.0,1,0.0,1.41
U_006cf812e2ad1734,slide,slide,0.0,1,0.0,0.695
U_0075c2b2cf986188,floor,floor,0.0,1,0.0,0.842
U_00771affcae176b3,sixty,sixty,0.0,1,0.0,1.242
U_007839b38768af2a,maybe they were having tea outside,maybe they were having tea outside,0.0,6,0.0,1.895
U_00860a97f701457b,but the sand was too light so it fell on the castle,but the sand was too light so it fell on the castle,0.0,12,0.0,5.294
U_008dc822a0e328a7,nostrils,nostrils,0.0,1,0.0,1.363
U_008e96077305f9a6,one day he decided to work even harder,one day he decided to work even harder,0.0,8,0.0,2.999
U_0090174df083e639,shrek,shrek,0.0,1,0.0,1.294
U_00981b992010d67d,raft,raft,0.0,1,0.0,1.01
U_00a4a73c581a3d0a,um first i put my underwear on,um first i put my other one,0.3333333333333333,7,2.333333333333333,3.491
U_00aa6253cf7ab182,probably this doesn't turn,probably this goes too,0.6,4,2.4,3.57
U_00ab131e1690c96f,heed hade,heed hayed,0.5,2,1.0,2.278
U_00b223600101a968,run,run,0.0,1,0.0,0.839
U_00cd0fc5a4168edc,i can't,i can,0.3333333333333333,2,0.6666666666666666,0.921
U_00cd632b62858b9c,bell,l,1.0,1,1.0,0.693
U_00dd07b617437f06,y,five,1.0,1,1.0,1.268
U_00e77dc5a3ffd9d5,rip,rip,0.0,1,0.0,0.856
U_00e880b4ed95fb25,crack,crack,0.0,1,0.0,0.954
U_00e89a376e429fe8,rhino,rhino,0.0,1,0.0,1.422
U_00ec50875801e0b8,grow,you grow,1.0,1,1.0,2.07
U_00f63ac35cbfeb21,even before the sun gets up,even before the sun gets up,0.0,6,0.0,3.048
U_010cba456611ba5d,to feed the cat one must shoo the dog,to feed the cat one must shoo the dog,0.0,9,0.0,3.667
U_01164051d8a50dcf,ropes,groups,1.0,1,1.0,2.3
U_01239778daa9454b,she's playing on the slide,she's playing on the slide,0.0,5,0.0,2.801
U_012c535a04c6928b,red orange yellow green blue purple,orange yellow green blue purple,0.1666666666666666,6,1.0,1.65
U_013a5b9d2ce5a11e,k,k,0.0,1,0.0,3.801
U_0142cba59ae09575,fruit,fruit,0.0,1,0.0,1.019
U_0146b73fd9a00c42,three,three,0.0,1,0.0,1.624
U_014c6b3cb2e1bdfc,skacks,stacks,1.0,1,1.0,2.2
U_015da4ee944e7a00,worm,worm,0.0,1,0.0,0.845
U_0166d1829ace6058,purr,purr,0.0,1,0.0,0.827
U_0170017d6986d3b2,purple,mm,1.0,1,1.0,0.625
U_0171f7a0f77f113a,the dog got kicked,the dog got pissed,0.25,4,1.0,7.169
U_0176980a618bfd51,rob,rob,0.0,1,0.0,0.747
U_017a9c21025430f1,um,um,0.0,1,0.0,1.659
U_017dc8530e0c230a,that one's silly,yes that one's a channel,0.75,3,2.25,2.303
U_01803f34f648836a,grass,grass,0.0,1,0.0,1.459
U_01827871f5ee9b21,it barks play catch with me,the birds play catch with me,0.3333333333333333,6,2.0,3.25
U_0186741a0d8d885d,he ask if he could have one of the balloons,he asked if he could have one of the balloons,0.1,10,1.0,2.3
U_018d8be74e0ec78b,nurse,nurse,0.0,1,0.0,0.894
U_018e06a12db55778,ring,ring,0.0,1,0.0,0.737
U_0191716af4426598,sink,sink,0.0,1,0.0,0.788
U_01937de1f6667a97,reach,reach,0.0,1,0.0,0.912
U_0193b309264b012c,you have to get all uh you can't hit the purple men,you have to get you can't hit the purple man's,0.25,12,3.0,7.368
U_0193f30352ca9fde,wreath,wreath,0.0,1,0.0,1.158
U_019e93f4eda7facc,now he's still staring at the balloon and she's upset because he let her balloon go,now he's still staring at the balloon and she's upset because he let her balloon go,0.0,16,0.0,5.77
U_019f12c6a4ee7f42,a sink,a sink,0.0,2,0.0,0.906
U_01a64fc4f4b15430,gear,gear,0.0,1,0.0,1.029
U_01b3f86a99df42cc,spray,spray,0.0,1,0.0,1.458
U_01b80f9489caba94,now all,now all the all,1.0,2,2.0,5.34
U_01baee0634fdff17,mr_bee worked with another bee other bees all the bees,mister bee worked with another bee's other bees all the bees,0.1818181818181818,10,1.8181818181818183,6.613
U_01bd1855f1bea5ac,yes,yes,0.0,1,0.0,0.506
U_01bd2d4ae22b06b9,two mip,two mip,0.0,2,0.0,1.424
U_01c08133d2c853ae,rake,rake,0.0,1,0.0,0.681
U_01c7c3cb1cb75182,no,no,0.0,1,0.0,0.577
U_01cf3e530db3d39c,beard,beard,0.0,1,0.0,1.498
U_01d78bf141d91be0,you know bye night night,it's all for the other one,1.4,5,7.0,2.251
U_01e93fae3306e57d,hear,here,1.0,1,1.0,0.884
U_01f2eb158fa2da69,rock,rock,0.0,1,0.0,0.941
U_01fea03734e20d6b,her,her,0.0,1,0.0,0.956
U_01ff26d95c3aaad3,i also have a wiggly tooth,i also have a wiggly too,0.1666666666666666,6,1.0,2.258
U_0216c3f86464c13b,i can't remember,i can't remember,0.0,3,0.0,1.544
U_02261fabd433e4b6,pray,pray,0.0,1,0.0,0.587
U_02275c68b66f9702,now the bunny rabbit is full but not the dog,now the bunny rabbit's full but not the dog,0.0,10,0.0,2.706
U_022fefba333fbd6c,that one's five dollars,that one's five dollars,0.0,4,0.0,2.979
U_0230067f8f7271ac,m monkey,m monkey,0.0,2,0.0,3.435
U_0230b7ecf5f2ebc5,fork,fork,0.0,1,0.0,0.825
